class_name,filename,source_csv,rows,usable_frame_rows,usable_windows,invalid_rows,missing_required_columns,nan_inf_count,mean_point_count,min_point_count,max_point_count,mean_abs_velocity,column_count,columns,audit_error,error_message,suspicious,suspicious_reasons
STANDING,replay_2025-09-18_14-40-37_final.csv,C:\Users\UBESC\AppData\Local\Temp\tmpxeo3aj3u\standing\replay_2025-09-18_14-40-37_final.csv,1300,1007,1000,293,velx;accx,0,6.77,0,17,0.16793657969489678,92,tid;posy;posz;vely;velz;accy;accz;pointx1;pointy1;pointz1;doppler1;snr1;pointx2;pointy2;pointz2;doppler2;snr2;pointx3;pointy3;pointz3;doppler3;snr3;pointx4;pointy4;pointz4;doppler4;snr4;pointx5;pointy5;pointz5;doppler5;snr5;pointx6;pointy6;pointz6;doppler6;snr6;pointx7;pointy7;pointz7;doppler7;snr7;pointx8;pointy8;pointz8;doppler8;snr8;pointx9;pointy9;pointz9;doppler9;snr9;pointx10;pointy10;pointz10;doppler10;snr10;pointx11;pointy11;pointz11;doppler11;snr11;pointx12;pointy12;pointz12;doppler12;snr12;pointx13;pointy13;pointz13;doppler13;snr13;pointx14;pointy14;pointz14;doppler14;snr14;pointx15;pointy15;pointz15;doppler15;snr15;pointx16;pointy16;pointz16;doppler16;snr16;pointx17;pointy17;pointz17;doppler17;snr17,False,,True,missing columns
STANDING,results_STOOD_DYLAN_170031.csv,C:\Users\UBESC\AppData\Local\Temp\tmpxeo3aj3u\standing\results_STOOD_DYLAN_170031.csv,760,607,600,153,velx;accx,0,7.2973684210526315,1,16,0.10063157894736843,158,Frame count;tid;posy;posz;vely;velz;accy;accz;pointy0;pointz0;snr0;pointy1;pointz1;snr1;pointy2;pointz2;snr2;pointy3;pointz3;snr3;pointy4;pointz4;snr4;pointy5;pointz5;snr5;pointy6;pointz6;snr6;pointy7;pointz7;snr7;pointy8;pointz8;snr8;pointy9;pointz9;snr9;pointy10;pointz10;snr10;pointy11;pointz11;snr11;pointy12;pointz12;snr12;pointy13;pointz13;snr13;pointy14;pointz14;snr14;pointy15;pointz15;snr15;pointy16;pointz16;snr16;pointy17;pointz17;snr17;pointy18;pointz18;snr18;pointy19;pointz19;snr19;pointy20;pointz20;snr20;pointy21;pointz21;snr21;pointy22;pointz22;snr22;pointy23;pointz23;snr23;pointy24;pointz24;snr24;pointy25;pointz25;snr25;pointy26;pointz26;snr26;pointy27;pointz27;snr27;pointy28;pointz28;snr28;pointy29;pointz29;snr29;pointy30;pointz30;snr30;pointy31;pointz31;snr31;pointy32;pointz32;snr32;pointy33;pointz33;snr33;pointy34;pointz34;snr34;pointy35;pointz35;snr35;pointy36;pointz36;snr36;pointy37;pointz37;snr37;pointy38;pointz38;snr38;pointy39;pointz39;snr39;pointy40;pointz40;snr40;pointy41;pointz41;snr41;pointy42;pointz42;snr42;pointy43;pointz43;snr43;pointy44;pointz44;snr44;pointy45;pointz45;snr45;pointy46;pointz46;snr46;pointy47;pointz47;snr47;pointy48;pointz48;snr48;pointy49;pointz49;snr49,False,,True,missing columns
STANDING,results_STOOD_ED_160456.csv,C:\Users\UBESC\AppData\Local\Temp\tmpxeo3aj3u\standing\results_STOOD_ED_160456.csv,771,731,724,40,velx;accx,0,10.153047989623865,2,21,0.13520752269779507,158,Frame count;tid;posy;posz;vely;velz;accy;accz;pointy0;pointz0;snr0;pointy1;pointz1;snr1;pointy2;pointz2;snr2;pointy3;pointz3;snr3;pointy4;pointz4;snr4;pointy5;pointz5;snr5;pointy6;pointz6;snr6;pointy7;pointz7;snr7;pointy8;pointz8;snr8;pointy9;pointz9;snr9;pointy10;pointz10;snr10;pointy11;pointz11;snr11;pointy12;pointz12;snr12;pointy13;pointz13;snr13;pointy14;pointz14;snr14;pointy15;pointz15;snr15;pointy16;pointz16;snr16;pointy17;pointz17;snr17;pointy18;pointz18;snr18;pointy19;pointz19;snr19;pointy20;pointz20;snr20;pointy21;pointz21;snr21;pointy22;pointz22;snr22;pointy23;pointz23;snr23;pointy24;pointz24;snr24;pointy25;pointz25;snr25;pointy26;pointz26;snr26;pointy27;pointz27;snr27;pointy28;pointz28;snr28;pointy29;pointz29;snr29;pointy30;pointz30;snr30;pointy31;pointz31;snr31;pointy32;pointz32;snr32;pointy33;pointz33;snr33;pointy34;pointz34;snr34;pointy35;pointz35;snr35;pointy36;pointz36;snr36;pointy37;pointz37;snr37;pointy38;pointz38;snr38;pointy39;pointz39;snr39;pointy40;pointz40;snr40;pointy41;pointz41;snr41;pointy42;pointz42;snr42;pointy43;pointz43;snr43;pointy44;pointz44;snr44;pointy45;pointz45;snr45;pointy46;pointz46;snr46;pointy47;pointz47;snr47;pointy48;pointz48;snr48;pointy49;pointz49;snr49,False,,True,missing columns
STANDING,results_STOOD_EDDIE_174905.csv,C:\Users\UBESC\AppData\Local\Temp\tmpxeo3aj3u\standing\results_STOOD_EDDIE_174905.csv,842,766,759,76,velx;accx,0,9.502375296912113,1,20,0.18466745843230406,158,Frame count;tid;posy;posz;vely;velz;accy;accz;pointy0;pointz0;snr0;pointy1;pointz1;snr1;pointy2;pointz2;snr2;pointy3;pointz3;snr3;pointy4;pointz4;snr4;pointy5;pointz5;snr5;pointy6;pointz6;snr6;pointy7;pointz7;snr7;pointy8;pointz8;snr8;pointy9;pointz9;snr9;pointy10;pointz10;snr10;pointy11;pointz11;snr11;pointy12;pointz12;snr12;pointy13;pointz13;snr13;pointy14;pointz14;snr14;pointy15;pointz15;snr15;pointy16;pointz16;snr16;pointy17;pointz17;snr17;pointy18;pointz18;snr18;pointy19;pointz19;snr19;pointy20;pointz20;snr20;pointy21;pointz21;snr21;pointy22;pointz22;snr22;pointy23;pointz23;snr23;pointy24;pointz24;snr24;pointy25;pointz25;snr25;pointy26;pointz26;snr26;pointy27;pointz27;snr27;pointy28;pointz28;snr28;pointy29;pointz29;snr29;pointy30;pointz30;snr30;pointy31;pointz31;snr31;pointy32;pointz32;snr32;pointy33;pointz33;snr33;pointy34;pointz34;snr34;pointy35;pointz35;snr35;pointy36;pointz36;snr36;pointy37;pointz37;snr37;pointy38;pointz38;snr38;pointy39;pointz39;snr39;pointy40;pointz40;snr40;pointy41;pointz41;snr41;pointy42;pointz42;snr42;pointy43;pointz43;snr43;pointy44;pointz44;snr44;pointy45;pointz45;snr45;pointy46;pointz46;snr46;pointy47;pointz47;snr47;pointy48;pointz48;snr48;pointy49;pointz49;snr49,False,,True,missing columns
STANDING,results_STOOD_EMMANUEL180704.csv,C:\Users\UBESC\AppData\Local\Temp\tmpxeo3aj3u\standing\results_STOOD_EMMANUEL180704.csv,787,669,662,118,velx;accx,0,7.898348157560355,1,20,0.0933163913595934,158,Frame count;tid;posy;posz;vely;velz;accy;accz;pointy0;pointz0;snr0;pointy1;pointz1;snr1;pointy2;pointz2;snr2;pointy3;pointz3;snr3;pointy4;pointz4;snr4;pointy5;pointz5;snr5;pointy6;pointz6;snr6;pointy7;pointz7;snr7;pointy8;pointz8;snr8;pointy9;pointz9;snr9;pointy10;pointz10;snr10;pointy11;pointz11;snr11;pointy12;pointz12;snr12;pointy13;pointz13;snr13;pointy14;pointz14;snr14;pointy15;pointz15;snr15;pointy16;pointz16;snr16;pointy17;pointz17;snr17;pointy18;pointz18;snr18;pointy19;pointz19;snr19;pointy20;pointz20;snr20;pointy21;pointz21;snr21;pointy22;pointz22;snr22;pointy23;pointz23;snr23;pointy24;pointz24;snr24;pointy25;pointz25;snr25;pointy26;pointz26;snr26;pointy27;pointz27;snr27;pointy28;pointz28;snr28;pointy29;pointz29;snr29;pointy30;pointz30;snr30;pointy31;pointz31;snr31;pointy32;pointz32;snr32;pointy33;pointz33;snr33;pointy34;pointz34;snr34;pointy35;pointz35;snr35;pointy36;pointz36;snr36;pointy37;pointz37;snr37;pointy38;pointz38;snr38;pointy39;pointz39;snr39;pointy40;pointz40;snr40;pointy41;pointz41;snr41;pointy42;pointz42;snr42;pointy43;pointz43;snr43;pointy44;pointz44;snr44;pointy45;pointz45;snr45;pointy46;pointz46;snr46;pointy47;pointz47;snr47;pointy48;pointz48;snr48;pointy49;pointz49;snr49,False,,True,missing columns
STANDING,results_STOOD_FAIK_164849.csv,C:\Users\UBESC\AppData\Local\Temp\tmpxeo3aj3u\standing\results_STOOD_FAIK_164849.csv,796,754,747,42,velx;accx,0,9.076633165829145,1,17,0.10820979899497488,158,Frame count;tid;posy;posz;vely;velz;accy;accz;pointy0;pointz0;snr0;pointy1;pointz1;snr1;pointy2;pointz2;snr2;pointy3;pointz3;snr3;pointy4;pointz4;snr4;pointy5;pointz5;snr5;pointy6;pointz6;snr6;pointy7;pointz7;snr7;pointy8;pointz8;snr8;pointy9;pointz9;snr9;pointy10;pointz10;snr10;pointy11;pointz11;snr11;pointy12;pointz12;snr12;pointy13;pointz13;snr13;pointy14;pointz14;snr14;pointy15;pointz15;snr15;pointy16;pointz16;snr16;pointy17;pointz17;snr17;pointy18;pointz18;snr18;pointy19;pointz19;snr19;pointy20;pointz20;snr20;pointy21;pointz21;snr21;pointy22;pointz22;snr22;pointy23;pointz23;snr23;pointy24;pointz24;snr24;pointy25;pointz25;snr25;pointy26;pointz26;snr26;pointy27;pointz27;snr27;pointy28;pointz28;snr28;pointy29;pointz29;snr29;pointy30;pointz30;snr30;pointy31;pointz31;snr31;pointy32;pointz32;snr32;pointy33;pointz33;snr33;pointy34;pointz34;snr34;pointy35;pointz35;snr35;pointy36;pointz36;snr36;pointy37;pointz37;snr37;pointy38;pointz38;snr38;pointy39;pointz39;snr39;pointy40;pointz40;snr40;pointy41;pointz41;snr41;pointy42;pointz42;snr42;pointy43;pointz43;snr43;pointy44;pointz44;snr44;pointy45;pointz45;snr45;pointy46;pointz46;snr46;pointy47;pointz47;snr47;pointy48;pointz48;snr48;pointy49;pointz49;snr49,False,,True,missing columns
SITTING,replay_2025-08-22_13-44-11swap.csv,C:\Users\UBESC\AppData\Local\Temp\tmpxeo3aj3u\sitting\replay_2025-08-22_13-44-11swap.csv,1240,33,26,1207,,0,2.3209677419354837,0,6,2.9453537280743726e+32,40,tid;posx;posy;posz;velx;vely;velz;accx;accy;accz;pointx1;pointy1;pointz1;doppler1;snr1;pointx2;pointy2;pointz2;doppler2;snr2;pointx3;pointy3;pointz3;doppler3;snr3;pointx4;pointy4;pointz4;doppler4;snr4;pointx5;pointy5;pointz5;doppler5;snr5;pointx6;pointy6;pointz6;doppler6;snr6,False,,True,abnormal posz range
SITTING,replay_2025-09-18_14-47-34_final.csv,C:\Users\UBESC\AppData\Local\Temp\tmpxeo3aj3u\sitting\replay_2025-09-18_14-47-34_final.csv,1300,712,705,588,velx;accx,0,4.812307692307693,0,11,0.09493185592594544,62,tid;posy;posz;vely;velz;accy;accz;pointx1;pointy1;pointz1;doppler1;snr1;pointx2;pointy2;pointz2;doppler2;snr2;pointx3;pointy3;pointz3;doppler3;snr3;pointx4;pointy4;pointz4;doppler4;snr4;pointx5;pointy5;pointz5;doppler5;snr5;pointx6;pointy6;pointz6;doppler6;snr6;pointx7;pointy7;pointz7;doppler7;snr7;pointx8;pointy8;pointz8;doppler8;snr8;pointx9;pointy9;pointz9;doppler9;snr9;pointx10;pointy10;pointz10;doppler10;snr10;pointx11;pointy11;pointz11;doppler11;snr11,False,,True,missing columns
SITTING,replay_2025-09-18_14-52-28_final.csv,C:\Users\UBESC\AppData\Local\Temp\tmpxeo3aj3u\sitting\replay_2025-09-18_14-52-28_final.csv,1640,939,932,701,velx;accx,0,4.987804878048781,0,11,0.08664897303266052,62,tid;posy;posz;vely;velz;accy;accz;pointx1;pointy1;pointz1;doppler1;snr1;pointx2;pointy2;pointz2;doppler2;snr2;pointx3;pointy3;pointz3;doppler3;snr3;pointx4;pointy4;pointz4;doppler4;snr4;pointx5;pointy5;pointz5;doppler5;snr5;pointx6;pointy6;pointz6;doppler6;snr6;pointx7;pointy7;pointz7;doppler7;snr7;pointx8;pointy8;pointz8;doppler8;snr8;pointx9;pointy9;pointz9;doppler9;snr9;pointx10;pointy10;pointz10;doppler10;snr10;pointx11;pointy11;pointz11;doppler11;snr11,False,,True,missing columns
SITTING,results_SAT_DYLAN_170501.csv,C:\Users\UBESC\AppData\Local\Temp\tmpxeo3aj3u\sitting\results_SAT_DYLAN_170501.csv,671,392,385,279,velx;accx,0,4.907600596125186,1,11,0.11230253353204174,158,Frame count;tid;posy;posz;vely;velz;accy;accz;pointy0;pointz0;snr0;pointy1;pointz1;snr1;pointy2;pointz2;snr2;pointy3;pointz3;snr3;pointy4;pointz4;snr4;pointy5;pointz5;snr5;pointy6;pointz6;snr6;pointy7;pointz7;snr7;pointy8;pointz8;snr8;pointy9;pointz9;snr9;pointy10;pointz10;snr10;pointy11;pointz11;snr11;pointy12;pointz12;snr12;pointy13;pointz13;snr13;pointy14;pointz14;snr14;pointy15;pointz15;snr15;pointy16;pointz16;snr16;pointy17;pointz17;snr17;pointy18;pointz18;snr18;pointy19;pointz19;snr19;pointy20;pointz20;snr20;pointy21;pointz21;snr21;pointy22;pointz22;snr22;pointy23;pointz23;snr23;pointy24;pointz24;snr24;pointy25;pointz25;snr25;pointy26;pointz26;snr26;pointy27;pointz27;snr27;pointy28;pointz28;snr28;pointy29;pointz29;snr29;pointy30;pointz30;snr30;pointy31;pointz31;snr31;pointy32;pointz32;snr32;pointy33;pointz33;snr33;pointy34;pointz34;snr34;pointy35;pointz35;snr35;pointy36;pointz36;snr36;pointy37;pointz37;snr37;pointy38;pointz38;snr38;pointy39;pointz39;snr39;pointy40;pointz40;snr40;pointy41;pointz41;snr41;pointy42;pointz42;snr42;pointy43;pointz43;snr43;pointy44;pointz44;snr44;pointy45;pointz45;snr45;pointy46;pointz46;snr46;pointy47;pointz47;snr47;pointy48;pointz48;snr48;pointy49;pointz49;snr49,False,,True,missing columns
