sample_id,class_name,class_id,recording_id,source_csv,window_start_row,window_end_row,min_valid_points,mean_valid_points
0,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,23,30,5,7.375
1,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,24,31,6,8.0
2,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,25,32,6,8.375
3,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,26,33,7,8.75
4,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,27,34,8,9.125
5,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,28,35,9,9.375
6,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,29,36,9,9.375
7,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,30,37,9,9.375
8,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,31,38,7,9.125
9,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,32,39,7,8.875
10,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,33,40,7,8.625
11,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,34,41,7,8.75
12,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,35,42,7,8.375
13,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,36,43,7,8.125
14,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,37,44,7,8.125
15,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,38,45,6,7.75
16,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,39,46,6,8.0
17,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,40,47,6,7.75
18,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,41,48,6,8.0
19,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,42,49,6,7.875
20,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,43,50,6,8.0
21,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,44,51,6,8.125
22,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,45,52,6,7.875
23,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,46,53,6,7.875
24,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,47,54,6,7.75
25,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,48,55,6,8.0
26,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,49,56,6,7.75
27,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,50,57,5,7.25
28,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,51,58,5,7.0
29,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,70,77,6,8.875
30,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,71,78,6,8.875
31,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,72,79,6,8.875
32,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,73,80,6,8.375
33,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,74,81,6,8.5
34,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,75,82,6,8.375
35,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,76,83,5,7.875
36,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,86,93,5,6.25
37,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,114,121,5,7.5
38,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,115,122,5,7.625
39,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,116,123,5,7.625
40,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,238,245,6,7.375
41,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,239,246,6,7.625
42,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,240,247,6,7.625
43,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,241,248,5,7.5
44,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,242,249,5,7.25
45,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,243,250,5,6.875
46,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,262,269,5,7.5
47,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,263,270,5,7.625
48,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,264,271,7,7.875
49,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,265,272,6,7.625
50,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,288,295,5,8.875
51,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,289,296,5,9.375
52,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,290,297,9,10.125
53,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,291,298,9,10.25
54,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,292,299,9,10.625
55,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,293,300,9,10.375
56,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,294,301,5,9.75
57,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,295,302,5,9.125
58,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,296,303,5,8.75
59,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,297,304,5,8.5
60,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,298,305,5,7.875
61,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,299,306,5,7.5
62,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,332,339,5,7.625
63,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,333,340,5,7.5
64,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,366,373,6,7.375
65,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,367,374,6,7.5
66,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,368,375,6,7.625
67,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,369,376,7,7.75
68,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,394,401,5,7.125
69,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,395,402,5,7.125
70,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,396,403,6,7.75
71,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,407,414,5,7.625
72,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,408,415,5,7.625
73,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,409,416,6,7.75
74,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,410,417,5,7.5
75,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,411,418,5,7.125
76,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,412,419,5,6.625
77,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,413,420,5,6.0
78,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,491,498,5,7.375
79,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,492,499,5,7.875
80,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,501,508,5,7.75
81,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,502,509,5,7.875
82,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,503,510,5,7.875
83,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,504,511,5,7.5
84,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,505,512,5,7.25
85,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,506,513,5,7.125
86,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,507,514,5,7.25
87,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,508,515,5,7.0
88,STANDING,0,STANDING:replay_2025-08-22_13-48-32swap,replay_2025-08-22_13-48-32swap.csv,528,535,5,9.625
